age_group,gender,ethnicity,insurance,Group Size,Observed Mortality Rate,Avg Predicted Risk (Full Model),Observed Mortality (%),Avg Predicted Risk (%)
80+,F,UNKNOWN,Medicare,266,0.5375939849624061,0.750300584110332,53.8%,75.0%
<=49,M,UNKNOWN,UNKNOWN,42,0.47619047619047616,0.47162407386585636,47.6%,47.2%
80+,M,UNABLE TO OBTAIN,Medicare,43,0.4418604651162791,0.6175331110727528,44.2%,61.8%
50-64,F,UNKNOWN,Medicaid,70,0.4,0.6375728363410539,40.0%,63.8%
80+,F,UNABLE TO OBTAIN,Medicare,45,0.4,0.6194629774160515,40.0%,61.9%
80+,F,WHITE - RUSSIAN,Medicare,102,0.38235294117647056,0.6077463630034069,38.2%,60.8%
80+,M,UNKNOWN,Medicare,262,0.37786259541984735,0.7273276203264916,37.8%,72.7%
65-79,F,UNKNOWN,Medicare,339,0.37168141592920356,0.6549605148833629,37.2%,65.5%
80+,F,BLACK/AFRICAN AMERICAN,Medicaid,30,0.36666666666666664,0.5601111731822268,36.7%,56.0%
50-64,M,UNKNOWN,Medicaid,137,0.36496350364963503,0.6132937951123443,36.5%,61.3%
80+,F,WHITE - OTHER EUROPEAN,Medicare,59,0.3559322033898305,0.5327480990506518,35.6%,53.3%
80+,M,WHITE - RUSSIAN,Medicare,93,0.3548387096774194,0.6114129570371387,35.5%,61.1%
65-79,M,UNKNOWN,Medicaid,30,0.3333333333333333,0.6919392526202446,33.3%,69.2%
80+,F,BLACK/AFRICAN AMERICAN,Medicare,291,0.3333333333333333,0.5871691867282862,33.3%,58.7%
65-79,F,UNKNOWN,Private,42,0.3333333333333333,0.5937805404974116,33.3%,59.4%
80+,M,ASIAN - CHINESE,Medicare,52,0.3269230769230769,0.5737040431912491,32.7%,57.4%
80+,M,WHITE,Private,97,0.31958762886597936,0.5374431575086395,32.0%,53.7%
80+,M,BLACK/AFRICAN AMERICAN,Medicare,152,0.3157894736842105,0.543647546539419,31.6%,54.4%
65-79,M,UNABLE TO OBTAIN,Medicare,54,0.3148148148148148,0.5300040830550142,31.5%,53.0%
<=49,F,UNKNOWN,Private,83,0.3132530120481928,0.4138718734423973,31.3%,41.4%
65-79,M,UNKNOWN,Medicare,493,0.31237322515212984,0.6430860521005012,31.2%,64.3%
65-79,F,UNABLE TO OBTAIN,Medicare,52,0.3076923076923077,0.5472749611325026,30.8%,54.7%
