age_group,gender,ethnicity,insurance,Group Size,Observed Mortality Rate,Avg Predicted Risk (Full Model)
<=49,M,ASIAN - CHINESE,Medicare,2,1.0,0.30952780626296844
80+,F,WHITE - RUSSIAN,Other,1,1.0,0.8631754222781005
<=49,F,WHITE - RUSSIAN,Medicaid,1,1.0,0.509875456000841
65-79,F,WHITE,OTHER,1,1.0,0.5563769725574234
80+,M,WHITE - OTHER EUROPEAN,Private,1,1.0,0.801063034503685
50-64,F,UNABLE TO OBTAIN,UNKNOWN,1,1.0,0.6913617639440901
65-79,M,UNABLE TO OBTAIN,Other,1,1.0,0.488364794451643
80+,F,BLACK/AFRICAN AMERICAN,Other,1,1.0,0.6762466264039189
80+,M,UNABLE TO OBTAIN,UNKNOWN,1,1.0,0.9550482574617785
50-64,M,UNABLE TO OBTAIN,Other,2,1.0,0.580718535478002
65-79,F,WHITE - RUSSIAN,Private,1,1.0,0.5764217867161727
80+,F,UNKNOWN,UNKNOWN,3,1.0,0.912535172874119
80+,F,UNKNOWN,Other,1,1.0,0.908885643644189
65-79,F,UNKNOWN,UNKNOWN,8,0.875,0.7157363454343773
50-64,F,UNKNOWN,UNKNOWN,12,0.8333333333333334,0.7367678176374929
65-79,F,OTHER,UNKNOWN,4,0.75,0.8216218204112506
80+,M,UNKNOWN,UNKNOWN,7,0.7142857142857143,0.9304703820390817
80+,F,WHITE,UNKNOWN,7,0.7142857142857143,0.801526235804728
80+,M,ASIAN - CHINESE,Medicaid,10,0.7,0.6466735065759155
65-79,M,WHITE - OTHER EUROPEAN,Medicaid,3,0.6666666666666666,0.6633815153564576
<=49,F,UNABLE TO OBTAIN,Other,3,0.6666666666666666,0.3533140398440193
<=49,F,WHITE - OTHER EUROPEAN,Medicare,3,0.6666666666666666,0.4031376638937268
50-64,M,ASIAN,Other,3,0.6666666666666666,0.4671726714254538
50-64,M,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,3,0.6666666666666666,0.45305862010759185
80+,M,ASIAN,Medicaid,5,0.6,0.6495472132915856
65-79,M,UNABLE TO OBTAIN,Medicaid,7,0.5714285714285714,0.5402817075704904
<=49,M,ASIAN,Medicaid,9,0.5555555555555556,0.23821872664903485
80+,F,UNKNOWN,Medicaid,11,0.5454545454545454,0.8167806616030816
80+,F,UNKNOWN,Medicare,266,0.5375939849624061,0.750300584110332
50-64,F,WHITE - RUSSIAN,Medicare,2,0.5,0.7149302542483464
<=49,M,ASIAN,UNKNOWN,2,0.5,0.29950869065845875
80+,F,BLACK/AFRICAN AMERICAN,UNKNOWN,2,0.5,0.6229876038888018
<=49,M,ASIAN - CHINESE,Private,6,0.5,0.37144478987430474
<=49,F,UNKNOWN,Medicare,20,0.5,0.4823602239951034
80+,F,UNABLE TO OBTAIN,UNKNOWN,2,0.5,0.6959641537701643
<=49,M,WHITE - OTHER EUROPEAN,Medicare,4,0.5,0.5439141208055059
<=49,M,UNABLE TO OBTAIN,Medicare,6,0.5,0.5692432978417913
<=49,M,UNKNOWN,UNKNOWN,42,0.47619047619047616,0.47162407386585636
50-64,F,UNKNOWN,Other,15,0.4666666666666667,0.6799387338564372
80+,F,ASIAN,Medicaid,13,0.46153846153846156,0.704055178526481
<=49,F,UNKNOWN,UNKNOWN,13,0.46153846153846156,0.587009462541483
50-64,F,HISPANIC/LATINO - PUERTO RICAN,Medicare,9,0.4444444444444444,0.5243788712615607
80+,M,UNABLE TO OBTAIN,Medicare,43,0.4418604651162791,0.6175331110727528
80+,F,ASIAN - CHINESE,Medicaid,7,0.42857142857142855,0.5761183458397108
80+,F,ASIAN,Medicare,28,0.42857142857142855,0.5700563559535642
50-64,F,WHITE - OTHER EUROPEAN,Medicare,7,0.42857142857142855,0.5286664426223202
80+,F,OTHER,Private,7,0.42857142857142855,0.48974881599565795
<=49,F,UNKNOWN,Other,14,0.42857142857142855,0.4521846401405452
65-79,M,OTHER,Other,7,0.42857142857142855,0.4923613533661424
65-79,M,UNKNOWN,UNKNOWN,10,0.4,0.7386714629534868
65-79,M,HISPANIC/LATINO - PUERTO RICAN,Medicaid,5,0.4,0.40820774020245965
50-64,F,UNKNOWN,Medicaid,70,0.4,0.6375728363410539
<=49,F,UNABLE TO OBTAIN,Medicare,5,0.4,0.53604460421121
80+,F,WHITE - RUSSIAN,Medicaid,5,0.4,0.6583213806798581
<=49,M,ASIAN - CHINESE,Medicaid,5,0.4,0.32646031127303454
65-79,F,HISPANIC/LATINO - PUERTO RICAN,Private,5,0.4,0.5894423178004129
65-79,F,WHITE,UNKNOWN,5,0.4,0.6649623211552665
65-79,M,UNKNOWN,Other,10,0.4,0.5788942365832447
80+,F,UNABLE TO OBTAIN,Medicare,45,0.4,0.6194629774160515
80+,F,WHITE - RUSSIAN,Medicare,102,0.38235294117647056,0.6077463630034069
80+,M,UNKNOWN,Medicare,262,0.37786259541984735,0.7273276203264916
80+,M,OTHER,Private,8,0.375,0.5603054855579651
80+,M,WHITE,Other,8,0.375,0.5064903611197231
80+,M,BLACK/AFRICAN AMERICAN,Private,8,0.375,0.5648388812815194
65-79,F,UNKNOWN,Medicare,339,0.37168141592920356,0.6549605148833629
50-64,M,UNKNOWN,UNKNOWN,27,0.37037037037037035,0.6427389708957476
80+,F,BLACK/AFRICAN AMERICAN,Medicaid,30,0.36666666666666664,0.5601111731822268
50-64,M,UNKNOWN,Medicaid,137,0.36496350364963503,0.6132937951123443
80+,F,WHITE - OTHER EUROPEAN,Medicare,59,0.3559322033898305,0.5327480990506518
80+,M,WHITE - RUSSIAN,Medicare,93,0.3548387096774194,0.6114129570371387
50-64,F,ASIAN,Private,9,0.3333333333333333,0.4082811166287806
65-79,M,UNKNOWN,Medicaid,30,0.3333333333333333,0.6919392526202446
<=49,F,HISPANIC/LATINO - PUERTO RICAN,Medicare,9,0.3333333333333333,0.35737322492858337
80+,M,UNKNOWN,Other,3,0.3333333333333333,0.7439337851012167
80+,M,UNKNOWN,Medicaid,9,0.3333333333333333,0.6857987082982006
<=49,F,ASIAN - CHINESE,Private,6,0.3333333333333333,0.32037548172683655
80+,F,BLACK/AFRICAN AMERICAN,Medicare,291,0.3333333333333333,0.5871691867282862
80+,F,UNKNOWN,Private,6,0.3333333333333333,0.6625421402083922
65-79,F,UNKNOWN,Private,42,0.3333333333333333,0.5937805404974116
50-64,M,BLACK/AFRICAN AMERICAN,UNKNOWN,6,0.3333333333333333,0.587172158060418
50-64,M,HISPANIC/LATINO - PUERTO RICAN,Other,3,0.3333333333333333,0.575182746836791
80+,M,ASIAN - CHINESE,Medicare,52,0.3269230769230769,0.5737040431912491
80+,M,WHITE,Private,97,0.31958762886597936,0.5374431575086395
50-64,M,UNABLE TO OBTAIN,Medicare,22,0.3181818181818182,0.472220601916829
80+,M,BLACK/AFRICAN AMERICAN,Medicare,152,0.3157894736842105,0.543647546539419
65-79,M,UNABLE TO OBTAIN,Medicare,54,0.3148148148148148,0.5300040830550142
<=49,F,UNKNOWN,Private,83,0.3132530120481928,0.4138718734423973
65-79,M,UNKNOWN,Medicare,493,0.31237322515212984,0.6430860521005012
65-79,F,UNABLE TO OBTAIN,Medicare,52,0.3076923076923077,0.5472749611325026
80+,F,WHITE,Private,62,0.3064516129032258,0.5324491488544274
80+,M,WHITE,UNKNOWN,10,0.3,0.6482809477232099
<=49,M,UNKNOWN,Medicare,47,0.2978723404255319,0.39466747631127463
80+,M,OTHER,Medicare,195,0.29743589743589743,0.5266001648735429
80+,M,WHITE,Medicare,2495,0.2969939879759519,0.5396820451810811
50-64,M,ASIAN,Private,27,0.2962962962962963,0.36427027055218036
65-79,M,WHITE - RUSSIAN,Medicare,51,0.29411764705882354,0.5625503786615424
80+,F,OTHER,Medicare,233,0.2875536480686695,0.5175167971716579
65-79,M,ASIAN,Private,14,0.2857142857142857,0.4756606917369623
50-64,F,ASIAN,Medicaid,14,0.2857142857142857,0.502091118044995
65-79,M,HISPANIC/LATINO - PUERTO RICAN,Private,7,0.2857142857142857,0.3675533060634114
80+,M,WHITE,Medicaid,21,0.2857142857142857,0.6406733563834585
65-79,M,ASIAN,Medicaid,14,0.2857142857142857,0.5182617229292694
65-79,M,WHITE,UNKNOWN,14,0.2857142857142857,0.5499582837052676
80+,F,WHITE,Medicare,2391,0.28565453785027184,0.5335428355715286
80+,M,ASIAN,Medicare,46,0.2826086956521739,0.6257838051505732
80+,F,OTHER,Medicaid,50,0.28,0.580773854247922
50-64,M,UNKNOWN,Medicare,115,0.2782608695652174,0.5697398827014127
<=49,M,UNKNOWN,Medicaid,149,0.2751677852348993,0.4449824247594363
<=49,M,UNABLE TO OBTAIN,Medicaid,11,0.2727272727272727,0.3733412441468977
80+,F,WHITE,Medicaid,48,0.2708333333333333,0.5770895877355803
50-64,M,ASIAN - CHINESE,Medicaid,26,0.2692307692307692,0.4617175827117136
65-79,M,BLACK/AFRICAN AMERICAN,Medicaid,26,0.2692307692307692,0.4992510919934319
50-64,M,ASIAN,Medicaid,26,0.2692307692307692,0.4016355593152171
50-64,M,WHITE - OTHER EUROPEAN,Medicare,15,0.26666666666666666,0.40339230858211644
65-79,F,WHITE,Medicaid,87,0.26436781609195403,0.5382595083155858
50-64,M,UNKNOWN,Private,217,0.2626728110599078,0.5169862678868967
80+,M,HISPANIC/LATINO - PUERTO RICAN,Medicare,23,0.2608695652173913,0.5601724014600198
80+,F,ASIAN - CHINESE,Medicare,35,0.2571428571428571,0.6101797290601492
65-79,M,UNKNOWN,Private,83,0.25301204819277107,0.5933465906023001
50-64,F,UNKNOWN,Private,99,0.25252525252525254,0.533599610378598
80+,M,HISPANIC/LATINO - PUERTO RICAN,Medicaid,4,0.25,0.47986334105199113
80+,M,BLACK/AFRICAN AMERICAN,Medicaid,4,0.25,0.5264126584439872
65-79,F,WHITE - OTHER EUROPEAN,Medicare,64,0.25,0.49661113860314576
50-64,F,WHITE - OTHER EUROPEAN,Other,4,0.25,0.48262163772518873
50-64,F,HISPANIC/LATINO - PUERTO RICAN,Private,4,0.25,0.31848180064771464
